id,population
ZTITI024N23_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI039N23_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI044N23_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI089N23_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI168N24_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI170N24_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI171N24_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI172N24_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI200N25_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI265N25_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI268N25_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI289N25_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI290N25_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI314N25_Bosmina_Peru_BOLD_AAW7826,South_America
ZTITI331N25_Bosmina_Peru_BOLD_AAW7826,South_America
AY075057_B_coregoni,North_America
DQ310635_B_sp1_JRdWN2005,North_America
DQ310636_B_sp2_JRdWN2005,North_America
DQ889083_B_sp_BOLD_AAW7791,North_America
EU702000_B_sp_BOLD_AAI4722,North_America
EU702001_B_sp_BOLD_AAI4722,North_America
EU702002_B_sp_BOLD_AAI4721,North_America
EU702003_Eubosmina_huaronensis,Central_America
EU702004_Eubosmina_huaronensis,Central_America
EU702005_Eubosmina_huaronensis,Central_America
EU702006_Eubosmina_huaronensis,Central_America
EU702007_Eubosmina_huaronensis,Central_America
EU702008_Eubosmina_huaronensis,Central_America
EU702009_Eubosmina_huaronensis,Central_America
EU702010_Eubosmina_huaronensis,Central_America
EU702011_Eubosmina_huaronensis,Central_America
EU702012_Eubosmina_huaronensis,Central_America
EU702013_Eubosmina_huaronensis,Central_America
EU702014_Eubosmina_huaronensis,Central_America
EU702015_Eubosmina_huaronensis,Central_America
EU702016_Eubosmina_huaronensis,Central_America
EU702017_Eubosmina_huaronensis,Central_America
EU702018_B_longirostris,Central_America
EU702019_B_longirostris,Central_America
EU702020_B_longirostris,Central_America
EU702022_Eubosmina_tubicen,Central_America
EU702023_Eubosmina_tubicen,Central_America
EU702024_Eubosmina_tubicen,Central_America
EU702025_Eubosmina_tubicen,Central_America
EU702026_Eubosmina_tubicen,Central_America
HM883958_B_longirostris,North_America
HM883961_B_longirostris,North_America
HM883995_B_longirostris,North_America
HM883999_B_longirostris,North_America
HQ966466_B_liederi,North_America
HQ966467_B_liederi,North_America
HQ966468_B_liederi,North_America
HQ966469_B_liederi,North_America
HQ966470_B_liederi,North_America
HQ966471_B_liederi,North_America
JN233822_B_liederi,North_America
JN233823_B_liederi,North_America
JN233824_B_liederi,North_America
JN290618_Anomopoda_sp_BOLD_AAV0686,North_America
JN290619_Anomopoda_sp_BOLD_AAV0686,North_America
JN290620_Anomopoda_sp_BOLD_AAV0686,North_America
JN290621_Anomopoda_sp_BOLD_AAV0686,North_America
JN290621_Anomopoda_sp_BOLD_AAV06865,North_America
JN290622_Anomopoda_sp_BOLD_AAV0686,North_America
JN294865_Anomopoda_sp_BOLD_AAD9782,North_America
JN294866_Anomopoda_sp_BOLD_AAD9782,North_America
JN294889_Anomopoda_sp_BOLD_AAD9782,North_America
JN294890_Anomopoda_sp_BOLD_AAD9782,North_America
KC508661_B_meridionalis,Australia
KC508662_B_meridionalis,Australia
KC616781_B_cf_liederi,Central_America
KC616782_B_cf_liederi,Central_America
KC616783_B_cf_liederi,Central_America
KC616784_B_cf_liederi,Central_America
KC616785_B_cf_liederi,Central_America
KC616786_Eubosmina_huaronensis,Central_America
KC616787_Eubosmina_huaronensis,Central_America
KC616788_Eubosmina_huaronensis,Central_America
KC616789_Eubosmina_huaronensis,Central_America
KC616790_Eubosmina_huaronensis,Central_America
KC616791_Eubosmina_huaronensis,Central_America
KC616792_Eubosmina_huaronensis,Central_America
KC616793_Eubosmina_huaronensis,Central_America
KC617008_Eubosmina_tubicen,Central_America
KC617009_Eubosmina_tubicen,Central_America
KC617010_Eubosmina_tubicen,Central_America
KC617011_Eubosmina_tubicen,Central_America
KC617012_Eubosmina_tubicen,Central_America
KC617013_Eubosmina_tubicen,Central_America
KC617494_Eubosmina_tubicen,Central_America
KC617495_B_cf_liederi,Central_America
KC617496_B_cf_liederi,Central_America
KC617497_B_cf_liederi,Central_America
KC617498_B_cf_liederi,Central_America
KC617499_B_cf_liederi,Central_America
KC617500_Eubosmina_huaronensis,Central_America
KC617501_Eubosmina_huaronensis,Central_America
KC617502_Eubosmina_huaronensis,Central_America
KC617503_Eubosmina_huaronensis,Central_America
KC617504_Eubosmina_huaronensis,Central_America
KC617505_Eubosmina_huaronensis,Central_America
KC617506_Eubosmina_huaronensis,Central_America
KC617507_Eubosmina_huaronensis,Central_America
KC617508_Eubosmina_huaronensis,Central_America
KC617509_Eubosmina_huaronensis,Central_America
KC617510_Eubosmina_huaronensis,Central_America
KC617511_Eubosmina_huaronensis,Central_America
KC617636_Eubosmina_tubicen,Central_America
KM611608_B_sp_BOLD_AAV0686,North_America
KT705731_B_liederi,North_America
KT706147_B_liederi,North_America
KT707374_B_liederi,North_America
KT707760_B_liederi,North_America
KU315493_B_freyi,South_America
KY091157_B_sp_Taihuzoo,Asia_ME
LC215471_B_fatalis,Asia_ME
LC215472_B_fatalis,Asia_ME
LC215473_B_fatalis,Asia_ME
LC215474_B_fatalis,Asia_ME
LC215475_B_fatalis,Asia_ME
LC215476_B_cf_longirostris,Asia_ME
LC215477_B_cf_longirostris,Asia_ME
LC215478_B_cf_longirostris,Asia_ME
LC215479_B_cf_longirostris,Asia_ME
LC215480_B_cf_longirostris,Asia_ME
LC215481_B_sp,Asia_ME
MG448613_B_liederi,North_America
MG448631_B_liederi,North_America
MG448650_B_liederi,North_America
MG448657_B_liederi,North_America
MG448688_B_longirostris,North_America
MG448689_B_longirostris,North_America
MG448707_B_liederi,North_America
MG448765_B_liederi,North_America
MG448819_B_liederi,North_America
MG448838_B_longirostris,North_America
MG448897_B_liederi,North_America
MG448968_B_liederi,North_America
MG448971_B_liederi,North_America
MG449046_B_liederi,North_America
MG449067_B_liederi,North_America
MG449077_B_liederi,North_America
MG449102_B_liederi,North_America
MG449147_B_liederi,North_America
MG449180_B_liederi,North_America
MG449184_B_liederi,North_America
MG449207_B_liederi,North_America
MG449247_B_liederi,North_America
MG449253_B_liederi,North_America
MG449265_B_liederi,North_America
MG449273_B_liederi,North_America
MG449280_B_liederi,North_America
MG449315_B_liederi,North_America
MG449317_B_liederi,North_America
MG449340_B_liederi,North_America
MG449357_B_liederi,North_America
MG449359_B_liederi,North_America
MG449386_B_liederi,North_America
MG449420_Eubosmina_huaronensis,Central_America
